CUST,Start time for each 30min measurement period,Consumption in kWh,Trading Period,Price $/MWh for each trading period,Solar Energy Used,Excess Energy Exported to Grid,Revenue from Energy Used by Building,Revenue from Energy Exported to Grid,Total Revenue per Period
218691361,2023-01-02 06:00:00,0.12,13,5.16,0.12,3.21,0.0348,0.3852,0.42
218691361,2023-01-02 06:30:00,0.1,14,5.33,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 07:00:00,0.09,15,9.01,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 07:30:00,0.11,16,7.53,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 08:00:00,0.66,17,4.79,0.66,2.67,0.1914,0.3204,0.5118
218691361,2023-01-02 08:30:00,0.1,18,3.56,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 09:00:00,0.1,19,5,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 09:30:00,1,20,5.51,1,2.33,0.29,0.2796,0.5696
218691361,2023-01-02 10:00:00,0.1,21,5.49,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 10:30:00,0.09,22,5.16,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 11:00:00,0.1,23,5.28,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 11:30:00,0.09,24,5.28,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 12:00:00,0.66,25,7.18,0.66,2.67,0.1914,0.3204,0.5118
218691361,2023-01-02 12:30:00,0.1,26,6.86,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 13:00:00,0.09,27,4.82,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 13:30:00,0.11,28,4.78,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 14:00:00,0.64,29,4.98,0.64,2.69,0.1856,0.3228,0.5084
218691361,2023-01-02 14:30:00,0.48,30,5.5,0.48,2.85,0.1392,0.342,0.4812
218691361,2023-01-02 15:00:00,0.09,31,8.98,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 15:30:00,0.1,32,7.11,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 16:00:00,0.64,33,5.22,0.64,2.69,0.1856,0.3228,0.5084
218691361,2023-01-02 16:30:00,0.09,34,5.46,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 17:00:00,0.11,35,6.53,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 17:30:00,0.09,36,10.18,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 18:00:00,0.11,37,9.02,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 18:30:00,0.09,38,9.74,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 19:00:00,0.82,39,10.35,0.82,2.51,0.2378,0.3012,0.539
218691361,2023-01-02 19:30:00,0.33,40,12.64,0.33,3,0.0957,0.36,0.4557
218691361,2023-01-02 20:00:00,0.67,41,10.9,0.67,2.66,0.1943,0.3192,0.5135
218691361,2023-01-02 20:30:00,0.11,42,32.5,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 21:00:00,0.09,43,51.66,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 21:30:00,0.11,44,56.39,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-02 22:00:00,0.09,45,10.69,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-02 22:30:00,0.1,46,8.07,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 23:00:00,0.1,47,41.07,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-02 23:30:00,0.09,48,22.4,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 00:00:00,1.13,1,55.72,1.13,2.2,0.3277,0.264,0.5917
218691361,2023-01-03 00:30:00,0.58,2,28.01,0.58,2.75,0.1682,0.33,0.4982
218691361,2023-01-03 01:00:00,0.11,3,11.44,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-03 01:30:00,0.09,4,12.01,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 02:00:00,0.1,5,44.34,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 02:30:00,0.1,6,43.46,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 03:00:00,0.09,7,39.07,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 03:30:00,0.11,8,11.15,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-03 04:00:00,0.57,9,10.5,0.57,2.76,0.1653,0.3312,0.4965
218691361,2023-01-03 04:30:00,0.18,10,12.17,0.18,3.15,0.0522,0.378,0.4302
218691361,2023-01-03 05:00:00,0.71,11,16.02,0.71,2.62,0.2059,0.3144,0.5203
218691361,2023-01-03 05:30:00,0.45,12,26.95,0.45,2.88,0.1305,0.3456,0.4761
218691361,2023-01-03 06:00:00,0.1,13,34.86,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 06:30:00,0.09,14,16.8,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 07:00:00,0.11,15,39.37,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-03 07:30:00,0.09,16,36.11,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 08:00:00,0.64,17,9.66,0.64,2.69,0.1856,0.3228,0.5084
218691361,2023-01-03 08:30:00,0.1,18,8.41,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 09:00:00,0.09,19,9.11,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 09:30:00,0.11,20,17.07,0.11,3.22,0.0319,0.3864,0.4183
218691361,2023-01-03 10:00:00,0.09,21,29.51,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 10:30:00,0.97,22,10.98,0.97,2.36,0.2813,0.2832,0.5645
218691361,2023-01-03 11:00:00,0.09,23,9.51,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 11:30:00,0.09,24,9.95,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 12:00:00,0.69,25,16.66,0.69,2.64,0.2001,0.3168,0.5169
218691361,2023-01-03 12:30:00,0.09,26,10.31,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 13:00:00,0.18,27,64.21,0.18,3.15,0.0522,0.378,0.4302
218691361,2023-01-03 13:30:00,1,28,64.43,1,2.33,0.29,0.2796,0.5696
218691361,2023-01-03 14:00:00,0.96,29,61.18,0.96,2.37,0.2784,0.2844,0.5628
218691361,2023-01-03 14:30:00,0.1,30,57.79,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 15:00:00,0.93,31,53.81,0.93,2.4,0.2697,0.288,0.5577
218691361,2023-01-03 15:30:00,0.27,32,62.85,0.27,3.06,0.0783,0.3672,0.4455
218691361,2023-01-03 16:00:00,0.64,33,79.11,0.64,2.69,0.1856,0.3228,0.5084
218691361,2023-01-03 16:30:00,0.1,34,76.75,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 17:00:00,0.09,35,73.08,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 17:30:00,0.09,36,81.01,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 18:00:00,0.1,37,81.04,0.1,3.23,0.029,0.3876,0.4166
218691361,2023-01-03 18:30:00,0.09,38,83.22,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 19:00:00,0.12,39,80.41,0.12,3.21,0.0348,0.3852,0.42
218691361,2023-01-03 19:30:00,0.09,40,80.12,0.09,3.24,0.0261,0.3888,0.4149
218691361,2023-01-03 20:00:00,0.7,41,80.09,0.7,2.63,0.203,0.3156,0.5186
